Date,Source,Headlines,Teaser
" August, 2003 ",American Heart Journal,Most Hospitalized Older Persons Do Not Meet Enrollment Criteria,"A minority of hospitalized older persons with HF fit the profile of populations of clinical trials. There is an urgent need for research in HF for typical HF patients, including the very old."
" October, 2003 ",Medscape General Medicine,Understanding Clinical Trials in Context,It is important for clinicians to know about the realities of the world of clinical studies and how to read between the data.
" October, 2003 ",Dermatology Nursing,Dermatology Clinical Trials and Drug Development,Learn more about the drug development process and the role of the nurse.
" January, 2004 ",Wounds,Protocols for Advanced Technology Clinical Trials,"Products, devices, and materials for the treatment of chronic and problematic wounds have, during the course of the last two decades, progressed from simple dressings acting as protective coverings to more complex drugs and biological devices."
" March, 2004 ",Arthritis Research & Therapy,"Equipoise, Design Bias, and Randomized Controlled Trials","The concept of 'equipoise', the 'uncertainty principle', has been represented as a central ethical principle of human experimentation."
" March, 2004 ",Emerging Infectious Diseases,Clinical Trials and Novel Pathogens: Lessons From SARS,The recognition of SARS as a transmissible disease prompted international efforts to identify its cause and control its spread.
" March, 2004 ",Current Medical Research and Opinion,Eletriptan for the Acute Treatment of Migraine:  Results of,"Eletriptan is a potent, selective 5-HT1B/1D agonist that has been studied in multiple double-blind, placebo-controlled clinical trials conducted on migraineurs in Europe, Australia, Canada and the US."
" April, 2004 ",Journal of Cardiovascular Electrophysiology,Drug-Induced Torsades de Pointes and Implications for Drug,"A review of the techniques and limitations of methods directed at drug-related phenomena, clinical trials, interpretation of ECGs, and evaluation of drug-related risks and benefits."
" May, 2004 ",Pharmacotherapy,Single-Dose Pharmacokinetics of Sodium Ferric Gluconate Complex,Sodium ferric gluconate complex in sucrose injection (SFGC) is an iron formulation marketed in the United States as Ferrlecit.
" September, 2004 ",Medscape Pharmacists,Clinical Trials,Our pharmacy is conducting a double-blind clinical trial that includes a colored IV medication vs IV placebo. What can we do to avoid this color differentiation and to keep the trial double-blind?
" October, 2004 ",Medscape Cardiology,A Concern About Some Clinical Trials,"J. Willis Hurst, MD, MACP"
" December, 2004 ",Current Medical Research and Opinion,Measuring Symptom Response to Pharmacological Interventions,There is a clear need for a fully developed and validated tool for measuring the effects of therapeutic interventions on symptoms in COPD in clinical trials.
" January, 2006 ",Nature Clinical Practice Oncology,Phase III Clinical Trials on Anti-VEGF Therapy for Cancer,"Read the contrasting results, as well as mechanisms underlying normalization of tumor vasculature, and the need for biomarkers and imaging techniques to guide patient selection and protocol designs."
" February, 2006 ",Alimentary Pharmacology & Therapeutics,7-Point Global Overall Symptom Scale for Dyspepsia,"At present, there is no consensus regarding the optimal method for measuring the severity of dyspepsia symptoms in clinical trials."
" August, 2006 ",Nature Clinical Practice Neurology,Confounders to Spinal Cord Injury Clinical Trials,"Learn about the status of translational research in spinal cord injury trials, focusing on issues about concurrent use of methylprednisolone, and other potential confounders and possible solutions."
" February, 2007 ",Psychopharmacology Bulletin,Simple Options for Improving Signal Detection in Antidepressant Clinical,Effective antidepressants are not distinguished efficiently from placebos using signal detection. Might 3 easy-to-implement methodologies benefit signal detection and clinical trial design?
" April, 2007 ",Nature Clinical Practice Oncology,How can we Improve Clinical Trials?,"Ideally, phase II oncology trials would quickly and efficiently identify genuine therapeutic advances. Strategies such as adding a 'real-world' cohort, amongst others, may facilitate improvement."
" April, 2007 ",JAIDS: Journal of Acquired Immune Deficiency Syndromes,Metabolic Effects of Protease Inhibitor-Sparing ART Regimens Given for HIV,"Lipids were higher in efavirenz-containing 3- or 4-drug regimens, whereas body circumference measurements increased then returned to baseline by 192 weeks in this strategy trial."
" May, 2007 ",British Journal of Cardiology,Clinical Trials Versus the Real World:The Example of Cardiac Rehabilitation,Is cardiac rehabilitation as currently practiced in the UK as effective as clinical trials may suggest?
" May, 2007 ",Nature Clinical Practice Oncology,A Remedy for Biomarker Addiction: Rational Anticancer Drug Development,The post-genomic era would seem to be an opportune time to rewrite the laws of cancer drug development. Where is the best place to start?
" May, 2007 ",The British Journal of Dermatology,Methyl Aminolaevulinate-photodynamic Therapy,The efficacy and low risk of side-effects afforded by this therapy have resulted in high patient preference in clinical trials.
" July, 2007 ",International Journal of Clinical Practice,Recent Trials of Lipid Lowering,This narrative review summarises the key recent clinical trials of lipid lowering since 2004 and their implications for future patient care.
" July, 2007 ",AIDS,Should We Now Adopt the HIV-RNA < 50 Copy Endpoint for Clinical Trials?,These authors posit that HIV-RNA suppression < 50 copies/ml should be the standard efficacy endpoint in trials of naive and experienced patients as this endpoint has stronger durability over time.
" August, 2007 ",IRB: Ethics & Human Research,Who Should Go First in Trials with Scarce Agents? The Views,"Access to drugs not approved by the FDA remains controversial. Even greater access is being called for, but the competing rights of the individual versus the state continue to complicate this issue."
" August, 2007 ",Nature Clinical Practice Oncology,Molecular Imaging can Accelerate Anti-Angiogenic Drug Development and Test,Angiogenesis is regulated by numerous molecular pathways that could serve as targets for molecular imaging. What is the role of molecular imaging in anti-angiogenic drug development?
" August, 2007 ",Rheumatology,"Vitamins A, C, E and selenium in the treatment of arthritis","A systematic review of randomized clinical trials for the effectiveness of the antioxidant vitamins A, C, E or selenium or their combination in the treatment of arthritis."
" September, 2007 ",CHEST,Analyzing the Short-term Effect of Placebo Therapy in PAH,"Placebo therapy for pulmonary arterial hypertension (PAH) is common, but debated, in PAH treatment trials. What are the functional, hemodynamic, and clinical effects of placebo in adult PAH patients?"
" September, 2007 ",Journal of the American Board of Family Medicine,Understanding the Quality Chasm for Hypertension Control in Diabetes,How can you translate innovations from clinical trials to routine practice to improve hypertension control in diabetes?
" September, 2007 ",Medscape Cardiology,ESH '07: New Insights From Clinical Trials of Angiotensin Receptor Blockers,ESH 2007: Trial results from MORE and CASE-J show benefits for ARB therapy in treating hypertensive patients with atherosclerosis or renal dysfunction -- and perhaps even with atrial fibrillation.
" November, 2007 ",PLoS Medicine,Clinical Trials and Medical Care: Defining the Therapeutic Misconception,Therapeutic misconception describes a phenomenon when research participants do not appreciate that research and treatment are different but can a consistent definition be proposed and operationalized?
" January, 2008 ",IRB: Ethics & Human Research,"Patient Knowledge, Perception & Likelihood of  Trial Partcipation",The impact of clinical trials is reviewed. What is the likelihood that a person will participate in a clinical trial; what are their perceptions regarding clinical research?
" February, 2008 ",European Heart Journal,The Need for a Consensus Definition,This paper examines issues related to defining heart failure events in cardiovascular clinical trials and presents a definition to formally address this issue.
" March, 2008 ",Personalized Medicine,The Impact of US FDA Postapproval Tracking on Clinical Pharmacology,"Pending legislation could improve cooperation between drug sponsors, the federal government, and clinicians to ensure that genetic data are considered during crucial stages of drug development."
" June, 2008 ",Medscape Cardiology,When Endpoints Are Too Hard and Surrogates Must Do,"When are hard endpoints (eg, death) too hard to include in a clinical trial -- and what will serve as surrogates? Henry Black explains."
" June, 2008 ",Europace,Anti-arrhythmic Drug Therapy for Atrial Fibrillation,Anti-arrhythmic drug therapy for atrial fibrillation has expanded. Explore the current slate of conventional and non-conventional agents in this thought provoking review.
" June, 2008 ",Future Oncology,Status of Therapy for Chronic Myeloid Leukemia: Review of Drug Development,"Chronic myeloid leukemia treatment is relatively effective, but some problems have begun to emerge. Learn what the problems are and how newer generations of CML drug therapies may solve them."
" July, 2008 ",Medscape Cardiology,News From Clinical Trials in Multifactorial Hypertension,"ASH 2008: Substudy and other data from the ON-TARGET, TRANSCEND, AASK, ACCORD, EXCEED, and ACCOMPLISH trials."
" July, 2008 ",Future Virology,Antivirals: Current State of the Art,Antiviral drug development is now progressing at the pace antibiotics were 30 years ago. Learn more about current develops here.
" July, 2008 ",Future Neurology,fMRI: Use In Early Alzheimer's Disease And In Clinical Trials,"Functional MRI (fMRI) provides a means to investigate alterations in brain function related to the earliest symptoms of AD, possibly before development of significant irreversible structural damage."
" August, 2008 ",Expert Review of Respiratory Medicine,Antituberculous Drug Development and Novel Drug Targets,"A review of the development status of new anti-tuberculous drugs is presented, such as nitroimidazoles, diarylquinolines, diarylquinolines and oxazolidinones."
" August, 2008 ",Future Lipidology,Clinical Trials and Surrogate End Points: Lessons From the ENHANCE Trial,ENHANCE trial design and methods are explored in the context of related lipid lowering drug trials.
" November, 2008 ",Medscape Med Students,How Can I Get Involved in Research?,"I would like to be a research assistant or pursue my own research project. How can I find a suitable professor to work with, and how should I approach one?"
" November, 2008 ",The Medscape Journal of Medicine,The Myth of Equipoise in Phase 1 Clinical Trials,"The continued use of the ethically and scientifically invalid concept of ""equipoise"" in phase 1 clinical research trials undermines the ethics of research with human subjects."
" November, 2008 ",Future Virology,Antiviral Drug Development: Progress and Pitfalls,The 21st International Conference on Antiviral Research witnessed a number of presentations on both novel and well-established viral targets. What are some of the new drug therapies in development?
" November, 2008 ",Expert Review of Clinical Immunology,Inhaled Corticosteroids as Rescue Medication in Acute Severe Asthma,The clinical evidence regarding the use of inhaled corticosteroids in acute asthma patients are reviewed.
" November, 2008 ",AIDS,HIV Clinical Trial Design for Antiretroviral Development,How can proper clinical trial design affect antiretroviral development?
" November, 2008 ",Neurosurgical Focus,Protection and Repair of the Injured Spinal Cord,This article reviews current clinical trials that could revolutionize management of acute spinal injury.
" December, 2008 ",Medscape Oncology,Real-World Results Are Often Better Than Clinical Trials Suggest,"In this video blog, Dr. John Marshall reflects on new data and evolving experience with bevacizumab in real patients with colorectal cancer."
" December, 2008 ",The Medscape Journal of Medicine,"A Reader Responds to ""The Myth of Equipoise in Phase 1 Clinical Trials""",A reader argues that the use of the equipoise (uncertainty) argument to justify the conduct of research is a moral balm applied to soothe the conscience of research sponsors and researchers alike.
" December, 2008 ",Kidney International,DRIVE it Home: The Case for Prospective Economic Data Collection in RCTs,The DRIVE and DRIVE-II trials evaluated the efficacy of IV ferric gluconate in anemic dialysis patients but how can we extrapolate these data to change public policy and reimbursement practices?
" January, 2009 ",IRB: Ethics & Human Research,Including Persons With Alzheimer Disease in Research on Comorbid Conditions,What is the appropriate balance between protecting Alzheimer patients from the potential risks of research while allowing them to participate in trials that could lead to medical benefit?
" January, 2009 ",Medscape Medical News,Experimental Drug Use in Terminally Ill Patients,"Terminally ill patients are often willing to try experimental therapies but are ineligible for clinical trials. A new framework offers strategies for access to experimental compounds, and attempts to balance the interests of patients, manufacturers, and society."
" January, 2009 ",HIV Clinical Trials,Preparticipation Information on Posttrial Services of HIV Clinical Trials,Whether patients participate in clinical trials may hinge on whether they’ll receive medications or medical care after the trial ends. How often are retroviral drug trials providing this information?
" February, 2009 ",Nature Clinical Practice Gastroenterology & Hepatology,How to Critically Appraise an Article,"This review article presents a 10-step guide to the critical appraisal of research literature to assist clinicians in identifying relevant, high-quality studies to guide their clinical practice."
" February, 2009 ",Heartwire from Medscape,Exenatide in Clinic for Reperfusion Injury,"A drug derived from lizard spit, exenatide, has shown promise in a study of reperfusion injury in pigs and is now in clinical trials for the same indication."
" February, 2009 ",Malaria Journal,Clinical Trials to Estimate the Efficacy of Preventive Interventions Against Malaria in Paediatric Populations,"How can trial design be improved and standardized to enable comparative evaluation of malaria control measures in pediatric populations, specifically with respect to the design of malaria vaccine trials?"
" February, 2009 ",Medscape Medical News,Minorities Still A Minority in Clinical Trials,"Minorities continue to be underrepresented in clinical trials, and provider incentives for recruiting minority enrollment are ineffective."
" February, 2009 ",Medscape Oncology,Cancer Patients May Be Willing to Participate in Clinical Trials,"In this video blog, Dr. Maurie Markman observes that many cancer patients are willing to consider a clinical trial if the purpose and specifics of the study are explained clearly."
" April, 2009 ",WebMD Health News,New Drug Targets Advanced Prostate Cancer,An experimental drug called MDV3100 may slow advanced prostate cancer.
" April, 2009 ",Medscape Medical News,Intradermal Avotermin Improves Appearance of Scars in Early Clinical Trials,"Intradermal injection of avotermin, a clinical application of transforming growth-factor beta 3, has the potential to provide accelerated improvement in scarring."
" April, 2009 ",Medscape Medical News,Agent Prolongs Latency in Premature Ejaculation,Agent Prolongs Latency in Premature Ejaculation
" May, 2009 ",IRB: Ethics & Human Research,An Intervention to Improve Cancer Patients' Understanding of Early-Phase Clinical Trials,Could a computer-based informed consent intervention help clarify patients' expectations about a trial's purpose and benefit? 
" May, 2009 ",Medscape Oncology,Please Take This Important Survey About Cancer Clinical Trials,"In this video blog, Dr. Maurie Markman urges clinicians to take the Medscape Oncology survey, results of which will inform the national discussion and help answer critical questions."
" June, 2009 ",Faculty of 1000,"A Call for More Transparency of Registered Clinical Trials on Endometriosis. Ranked ""Exceptional"" by F1000",The need for exposure of important research in endometriosisto the medical and public eyes is long overdue.
" June, 2009 ",Medscape Medical News,Investigational Agent for Metastatic Triple-Negative Breast Cancer Hailed,"Currently, there are limited treatment options for metastatic triple-negative breast cancer, but a potential new agent is on the horizon."
" June, 2009 ",Medscape Medical News,Development Time of Cancer Clinical Trials Linked to Accrual Goals,"The longer an oncology clinical trial takes to develop, the less likely it is to meet its minimum patient accrual goal. New data show that 40% of NCI-CTEP trials failed to meet enrolment goals."
" June, 2009 ",Medscape Medical News,Investigational Targeted Therapy for Metastatic Melanoma Shrinks Tumors,The treatment options for metastatic melanoma are limited and are not broadly effective. A new investigational agent could change that status.
" June, 2009 ",Medscape Nurses,The Participation of Women in Clinical Trials,Women have historically been underrepresented in phase 1 clinical drug trials.
" June, 2009 ",Expert Review of Hematology,Optimal Treatment for Relapsing Patients With Hodgkin Lymphoma,Relapsed/refractory Hodgkin lymphoma (HL) is still a therapeutic challenge. What are some novel investigational treatments for relapsing patients?
" June, 2009 ",Medscape Medical News,Should Experimental Cancer Therapies Be Available Outside Clinical Trials?,There is patient demand for experimental therapies outside of clinical trials but there is also considerable variation in practice and attitudes about this issue among oncologists.
" August, 2009 ",Medscape Medical News,Disclosure to Research Participants May Not Manage Conflicts of Interest,A study offers recommendations for establishing sound policy and practices regarding how best to disclose financial conflicts of interests to potential participants in clinical research.
" August, 2009 ",Medscape Medical News,"Lung Cancer Research Hampered by Drug Trials Producing Small Gains, Study Says","Using a mathematical model, scientists show that small molecular studies are needed to advance lung cancer research and extend patient survival."
" August, 2009 ",Annals of Surgery,Use of Emerging Oral Anticoagulants in Clinical Practice,This is an important review of clinical studies of the oral anticoagulants in preventing postoperative venous thromboembolism.
" September, 2009 ",Medscape Family Medicine,Comparative Effectiveness Research and the Medical Home,"Does comparative effectiveness research mean the end of individualized medicine, or is it an ideal partner with the medical home for reforming primary care?"
" September, 2009 ",Medscape Cardiology,Comparing Therapies Among Patients With Diabetes and CAD -- BARIng in Mind Any Differences,"Henry Black, MD, looks at the BARI 2D results and believes that we're pretty good at sorting out differences in therapies but pities the poor clinician who must decide on best options. "
" September, 2009 ",Heartwire from Medscape,Quality of Medical Literature,Two new studies cast some negative light on the quality and completeness of medical literature.
" September, 2009 ",Medscape Psychiatry,Key Areas for Future Research Within Child and Adolescent Psychiatry,Dr. Robert Findling outlines 3 key research areas in child and adolescent psychiatry that should be pursued vigorously.
" September, 2009 ",Medscape Med Students,An Ode to Library Science,"Thank goodness for people like ""Laika Spoetnik"" who take the pain out of medical research."
" October, 2009 ",Clinical Lung Cancer, Cooperative Group Research Endeavors in Small-Cell Lung Cancer ,"This article discusses the scientific vision of various cooperative groups regarding small-cell lung cancer research, as presented at the 2008 International Lung Cancer Congress (ILCC)."
" October, 2009 ",Nanomedicine,Neurodegenerative Disorders and Nanoformulated Drug Development,"Nanotechnology-driven therapies hold the promise of altering the clinical course and outcome of Alzheimer's disease and other common, debilitating and hard-to-treat neurodegenerative disorders.  "
" October, 2009 ",Medscape Oncology,Barriers to Physician Participation in Cancer Clinical Trials: Results of a Web-Based Survey of Providers,HCPs play a critical role in facilitating patient participation in cancer clinical trials. Dr. Markman's Web-based survey identifies perceived barriers and innovative ways to improve participation.
" October, 2009 ",Medscape Medical News,Central Review Makes Clinical Trials Approval Process More Efficient,"The use of the National Cancer Institute's Central Institutional Review Board was associated with less effort, time, and cost in processing adult phase 3 oncology trials."
" October, 2009 ",Medscape Medical News,Safety Results of RCTs May Be Inconsistently Reported,A review showed significant heterogeneity and variability in the reporting of harm-related results in published reports of randomized controlled trials.
" November, 2009 ",International Journal of Clinical Rheumatology,What's New in Clinical Trials in Lupus?,"Recent trials have explored the efficacy of old, widely used therapies, as well as newer agents, to prevent lupus flares and for maintenance therapy."
" November, 2009 ",IRB: Ethics & Human Research,Competing Commitments in Clinical Trials,The goals of clinical research and clinical care are often at odds. This survey highlights the potential for clinical commitments of providers to undercut the requirements of research. 
" November, 2009 ",Personalized Medicine,Will Personalized Medicine Help in 'Transforming' the Business of Healthcare?,"In order for personalized medicine to have its desired impact, innovative business models will be required to address competing financial interests."
" November, 2009 ",Expert Review of Clinical Pharmacology,Novel Antibiotics for the Treatment of Staphylococcus aureus,"A leading cause of nosocomial infections, MRSA is a serious issue for all institutions. What are the newest drug therapies for this often fatal pathogen?"
" November, 2009 ",Journal of the National Cancer Institute,Prospective Cost-effectiveness Analysis of Cetuximab in Metastatic Colorectal Cancer,Prospectively collected resource utilization and health utility data for patients with CRC in the CO.17 study who received best supportive care +/- cetuximab were assessed for cost effectiveness.
" November, 2009 ",European Journal of Heart Failure,Clinical Trials Update from the ESC Heart Failure Meeting 2009,"Here is information and a commentary on five recent trials with findings relevant to the pathophysiology, prevention, and treatment of heart failure."
" November, 2009 ",Medscape Medical News,Debate Continues Over Patient Access to Investigational Drugs,The debate over patient access to investigational drugs is not expected to be resolved anytime soon; many issues still need to be resolved.
" November, 2009 ",Medscape Medical News,"Landmark Partial Breast Irradiation Trial Needs ""Unsuitable"" Patients","The description of certain breast cancer patients as ""unsuitable"" for partial irradiation in a recent consensus statement might be hampering enrollment to a landmark trial."
" November, 2009 ",Medscape Medical News,Major Advances in Clinical Cancer Research in 2009: A Report From ASCO ,Leading oncologists identified what they consider to be major and notable advances in clinical cancer research in the past year.
" December, 2009 ",BMC Clinical Pharmacology,Interactions Between Transdermal Selegiline and Cocaine Infusion,"For potential treatment of cocaine dependence, researchers investigate whether an interaction exists between selegiline and cocaine."
" December, 2009 ",The Hastings Center Report,A Tool to Strengthen The Doctor-Patient Relationship,"Comparative effectiveness can ""serve to protect us from our worst impulses and to nurture our very best ones,"" according to the author of this article. "
" December, 2009 ",IRB: Ethics & Human Research,Voluntariness of Consent to Research,"Practice-based research networks are burgeoning, and offer an ideal venue for the study of common medical problems, but further maturation is needed for them to fulfill their promise."
" December, 2009 ",Journal of the American Board of Family Medicine,Increasing the Role of Practice Networks in Medical Research,"Volunteering for research studies is laudable--and for heart failure patients, it may also be an independent prognostic variable."
" December, 2009 ",Medscape Medical News,New Guidelines on Reporting Industry-Supported Clinical Trial Results,New guidance on standards required for communicating industry-supported medical research leads 2 experts to debate whether the conflict of interest is acceptable.
" December, 2009 ",Medscape Medical News,What's Hot at ASH 2009,Two cochairs of the scientific program provide a glimpse of what to look for at the forthcoming annual meeting of the American Society of Hematology.
" December, 2009 ",Expert Review of Gastroenterology and Hepatology,Therapeutic Vaccination and Novel Strategies to Treat Chronic HBV Infection,This study focuses on therapeutic vaccination in HBV and discusses potential ways to effect efficient restoration of virus specific immunity in patients with chronic HBV.
" December, 2009 ",Expert Review of Hematology,Acute Myeloid Leukemia Stem Cells: Seek and Destroy,This article reviews bench and translational research in leukemic stem cells and discusses how the data should be used to change the direction of developmental therapeutics and clinical trials in AML.
" December, 2009 ",BMC Clinical Pharmacology,Bioavailability of Different Ibuprofen Preparations,A phase I trial compares the absorption rates of different ibuprofen formulations.
" December, 2009 ",Medscape Oncology,Mining the Data of Clinical Trials,"Re-examining clinical data proves a goldmine of new information for other areas of cancer study, as examined by Dr. Kathy Miller in this video blog from SABCS."
" December, 2009 ",Medscape Nurses,How To Make Sense of Qualitative Research Findings,"If you are unsure about how qualitative research fits into evidence-based practice, this article is for you."
" December, 2009 ",Heartwire from Medscape,FDA Review,Two separate studies of cardiovascular devices approved by the FDA raise new questions about the quality of clinical data supporting cardiovascular device PMAs.
" December, 2009 ",The Nation's Health,New Books Showcase Ethical Issues in Public Health Practice,Ethical issues in public health research and practice now occupy a prominent place in the public health landscape. Two new books provide some guidance for students and professionals.
" January, 2010 ",BMC Clinical Pharmacology,In Vivo Administration of BL-3050: Highly Stable Engineered PONI-HDL Complexes,A recombinant HDL-associated enzyme and its HDL complex may have a role in treating organophosphate poisoning and atherosclerosis.
" January, 2010 ",BMC Pharmacology,Evaluation of Molecular Descriptors for Antitumor Drugs,Understanding chemical properties of these antineoplastic agents may lead to new drug designs.
" January, 2010 ",American Journal of Health-System Pharmacy,Pharmacokinetics of Extended-Release Epidural Morphine Sulfate,How does extended-release epidural morphine compare with standard epidural morphine?
" January, 2010 ",PLoS Medicine,Are Patents Impeding Medical Care and Innovation?,"Is the current patent system actually stimulating biomedical research and innovation, or is it stifling it by raising costs and restricting access?"
" January, 2010 ",BMC Pharmacology,Antinociceptive Effects of Extracts from Pterodon pubescens ,A Brazilian medicinal plant has pain-relieving properties.
" January, 2010 ",IRB: Ethics & Human Research,Bipolar Mania and Capacity to Consent: Recommendations for Investigators,What is the decisional capacity of individuals with bipolar mania and other mental disorders? 
" January, 2010 ",Medscape Medical News,New Paradigm Needed in Cancer-Drug Development,"Molecular targeting is unlikely to produce drugs that have a big impact on the most common cancers, and so a new approach to drug development is needed."
" January, 2010 ",BMC Nephrology,Follow-up of Phase I Trial of Adalimumab and Rosiglitazone in FSGS,Antifibrotic therapy for a defined period of time may be a viable strategy to preserve kidney function in patients with resistant focal segmental glomerulosclerosis.
" February, 2010 ",BMC Clinical Pharmacology,A Systematic Review of Analgesics After Traumatic or Orthopaedic Surgery,A review evaluates the quality of trials on analgesic use post orthopedic or traumatic surgery.
" February, 2010 ",AIDS Clinical Care,HIV Outcomes in the Clinic: Now as Good as in Clinical Trials,Example Teaser
" February, 2010 ",Journal Watch,HIV Outcomes in the Clinic: Now as Good as in Clinical Trials,"HIV treatment outcomes have significantly improved over the years, but by just how much?  "
" February, 2010 ",Arthritis Research & Therapy,Molecular Therapies for Systemic Lupus Erythematosus: Clinical Trials and Future Prospects,Exploring new pharmacological options and therapeutic avenues for lupus: a focus on non-antibody molecular strategies. 
" February, 2010 ",Expert Review of Hematology,Autologous Hematopoietic Stem Cell Transplantation in Autoimmune Diseases,"This article discusses the growing experience in the use of HSCT in various autoimmune diseases, including multiple sclerosis, Crohn’s disease, and systemic sclerosis."
" February, 2010 ",Medscape Medical News,Researchers With Financial Interests Show Bias Toward Favorable Conclusions,New study findings support the need for full disclosure by researchers and indicate a strong bias toward positive findings among those with a vested interest.
" February, 2010 ",WebMD Health News,Study Linking Autism to Vaccine Retracted,"The retraction follows the finding of 'dishonest, irresponsible' study methods."
" February, 2010 ",Heartwire from Medscape,Research Essential for Overlooked CV Diseases in Africa,"Two doctors from Mozambique are calling for concerted efforts to foster multidisciplinary research into neglected cardiovascular diseases that predominantly occur in Africa. These include newly emerging cardiac manifestations of infectious diseases, say the authors. "
" February, 2010 ",Medscape Medical News,NIH and FDA Collaborate to Speed Therapies From Microscope to Marketplace,NIH and FDA Collaborate to Speed Therapies from Microscope to Marketplace
" March, 2010 ",Journal of Pediatric Psychology,Research and Practice: The Role of the Journal of Pediatric Psychology,This editorial outlines The Journal of Pediatric Psychology's current and future directions in publishing clinically relevant work.
" March, 2010 ",Expert Review of Proteomics,Role for Protein-Protein Interaction Databases in Human Genetics,"Since protein databases are now widely available, how does this impact research on protein-protein interactions?"
" March, 2010 ",Medscape Business of Medicine,Are You Smarter Than a Fifth-Grade Scientist?,Dr. Andrew Vickers criticizes the lack of replication studies in the published literature.
" March, 2010 ",Annals of Oncology,Randomized Placebo-Controlled Study of Tamoxifen After Adjuvant Chemo,Premenopausal women with early breast cancer could have improved 5-year survival when Tamoxifen is used after adjuvant chemotherapy.
" March, 2010 ",Medscape Medical News,Unique Collaboration Launches I-SPY 2 Trial in Breast Cancer,"A new approach to drug development is being explored in this unusual trial, which pulls together pharmaceutical companies, cancers centers, and the US Food and Drug Administration."
" March, 2010 ",Medscape Oncology,Healthcare Reform: Potential Impact on the Cancer Patient,The passage of the healthcare reform bill could benefit cancer patients in 2 important ways. Dr. Maurie Markman discusses the impact the bill could have on future cancer care.
